id,msgId,data
215,45,laughs maniacally
216,45,"
"
217,46,Deleted User
218,46, 
219,46,2/17/2019 3:03 PM
220,46,Mar: 
221,46,chokes and trips
222,46,3:03 PM
223,46,Creature: 
224,46,jumps up and into Mar
225,46,"
"
226,47,"Lex, Just The King"
227,47, 
228,47,2/17/2019 3:03 PM
229,47,Me: 
230,47,looks at her
231,47," Fuck not again...
"
232,48,Fear: 
233,48,looks at her and just looks confused
234,48,"
"
235,49,"Ian: Excuse me...?
"
236,50,most of the people in the building look at her really confused
